year,month,month_name,date,state,municipality,category,category_es,category_group,category_raw,incident_count,incidents_per_100k,change_vs_prior_year_pct,source
2022,1,January,2022-01-01,Jalisco,Puerto Vallarta,Assault / Bodily Harm,Lesiones Dolosas,Violent Crime,Lesiones dolosas,35,11.7693,N/A,SESNSP
2022,1,January,2022-01-01,Jalisco,Puerto Vallarta,Burglary (Non-Violent),Robo a Casa sin Violencia,Property Crime,Robo a casa habitación sin violencia,7,2.3539,N/A,SESNSP
2022,1,January,2022-01-01,Jalisco,Puerto Vallarta,Burglary (Violent),Robo a Casa con Violencia,Property Crime,Robo a casa habitación con violencia,1,0.3363,N/A,SESNSP
2022,1,January,2022-01-01,Jalisco,Puerto Vallarta,Business Robbery,Robo a Negocio,Property Crime,Robo a negocio,9,3.0264,N/A,SESNSP
2022,1,January,2022-01-01,Jalisco,Puerto Vallarta,Domestic Violence,Violencia Familiar,Domestic & Social,Violencia familiar,36,12.1056,N/A,SESNSP
2022,1,January,2022-01-01,Jalisco,Puerto Vallarta,Drug Dealing,Narcomenudeo,Federal / Drug Crime,Narcomenudeo,3,1.0088,N/A,SESNSP
2022,1,January,2022-01-01,Jalisco,Puerto Vallarta,Extortion,Extorsión,Violent Crime,Extorsión,2,0.6725,N/A,SESNSP
2022,1,January,2022-01-01,Jalisco,Puerto Vallarta,Femicide,Feminicidio,Violent Crime,Feminicidio,1,0.3363,N/A,SESNSP
2022,1,January,2022-01-01,Jalisco,Puerto Vallarta,Fraud,Fraude,Property Crime,Fraude,33,11.0968,N/A,SESNSP
2022,1,January,2022-01-01,Jalisco,Puerto Vallarta,Other Robbery,Otros Robos,Property Crime,Otros robos,36,12.1056,N/A,SESNSP
2022,1,January,2022-01-01,Jalisco,Puerto Vallarta,Other Sexual Crimes,Otros Delitos Sexuales,Sexual Crime,Otros delitos vs libertad sexual,4,1.3451,N/A,SESNSP
2022,1,January,2022-01-01,Jalisco,Puerto Vallarta,Property Damage,Daño a la Propiedad,Property Crime,Daño a la propiedad,61,20.5123,N/A,SESNSP
2022,1,January,2022-01-01,Jalisco,Puerto Vallarta,Rape,Violación,Sexual Crime,Violación simple / equiparada,1,0.3363,N/A,SESNSP
2022,1,January,2022-01-01,Jalisco,Puerto Vallarta,Sexual Abuse,Abuso Sexual,Sexual Crime,Abuso sexual,16,5.3803,N/A,SESNSP
2022,1,January,2022-01-01,Jalisco,Puerto Vallarta,Street Robbery,Robo a Transeúnte,Property Crime,Robo a transeúnte en vía pública,8,2.6901,N/A,SESNSP
2022,1,January,2022-01-01,Jalisco,Puerto Vallarta,Threats,Amenazas,Domestic & Social,Amenazas,34,11.4331,N/A,SESNSP
2022,1,January,2022-01-01,Jalisco,Puerto Vallarta,Vehicle Theft,Robo de Vehículo,Property Crime,Robo de vehículo automotor,39,13.1144,N/A,SESNSP
2022,2,February,2022-02-01,Jalisco,Puerto Vallarta,Assault / Bodily Harm,Lesiones Dolosas,Violent Crime,Lesiones dolosas,18,6.0528,N/A,SESNSP
2022,2,February,2022-02-01,Jalisco,Puerto Vallarta,Burglary (Non-Violent),Robo a Casa sin Violencia,Property Crime,Robo a casa habitación sin violencia,12,4.0352,N/A,SESNSP
2022,2,February,2022-02-01,Jalisco,Puerto Vallarta,Business Robbery,Robo a Negocio,Property Crime,Robo a negocio,6,2.0176,N/A,SESNSP
2022,2,February,2022-02-01,Jalisco,Puerto Vallarta,Domestic Violence,Violencia Familiar,Domestic & Social,Violencia familiar,32,10.7605,N/A,SESNSP
2022,2,February,2022-02-01,Jalisco,Puerto Vallarta,Drug Dealing,Narcomenudeo,Federal / Drug Crime,Narcomenudeo,1,0.3363,N/A,SESNSP
2022,2,February,2022-02-01,Jalisco,Puerto Vallarta,Extortion,Extorsión,Violent Crime,Extorsión,1,0.3363,N/A,SESNSP
2022,2,February,2022-02-01,Jalisco,Puerto Vallarta,Fraud,Fraude,Property Crime,Fraude,23,7.7341,N/A,SESNSP
