year,month,month_name,date,state,municipality,offense_category_raw,offense_category_normalized,category_group,incident_count,incidents_per_100k,source,source_url,notes
2022,1,January,2022-01-01,Jalisco,Puerto Vallarta,Homicidio doloso,Homicide,Violent Crime,4,1.35,SESNSP – Incidencia Delictiva del Fuero Común (Municipal),https://www.gob.mx/sesnsp/acciones-y-programas/datos-abiertos-de-incidencia-delictiva,Intentional killings only. Culposo (negligent) homicide tracked separately.
2022,2,February,2022-02-01,Jalisco,Puerto Vallarta,Homicidio doloso,Homicide,Violent Crime,3,1.01,SESNSP – Incidencia Delictiva del Fuero Común (Municipal),https://www.gob.mx/sesnsp/acciones-y-programas/datos-abiertos-de-incidencia-delictiva,Intentional killings only. Culposo (negligent) homicide tracked separately.
2022,3,March,2022-03-01,Jalisco,Puerto Vallarta,Homicidio doloso,Homicide,Violent Crime,4,1.35,SESNSP – Incidencia Delictiva del Fuero Común (Municipal),https://www.gob.mx/sesnsp/acciones-y-programas/datos-abiertos-de-incidencia-delictiva,Intentional killings only. Culposo (negligent) homicide tracked separately.
2022,4,April,2022-04-01,Jalisco,Puerto Vallarta,Homicidio doloso,Homicide,Violent Crime,4,1.35,SESNSP – Incidencia Delictiva del Fuero Común (Municipal),https://www.gob.mx/sesnsp/acciones-y-programas/datos-abiertos-de-incidencia-delictiva,Intentional killings only. Culposo (negligent) homicide tracked separately.
2022,5,May,2022-05-01,Jalisco,Puerto Vallarta,Homicidio doloso,Homicide,Violent Crime,4,1.35,SESNSP – Incidencia Delictiva del Fuero Común (Municipal),https://www.gob.mx/sesnsp/acciones-y-programas/datos-abiertos-de-incidencia-delictiva,Intentional killings only. Culposo (negligent) homicide tracked separately.
2022,6,June,2022-06-01,Jalisco,Puerto Vallarta,Homicidio doloso,Homicide,Violent Crime,5,1.68,SESNSP – Incidencia Delictiva del Fuero Común (Municipal),https://www.gob.mx/sesnsp/acciones-y-programas/datos-abiertos-de-incidencia-delictiva,Intentional killings only. Culposo (negligent) homicide tracked separately.
2022,7,July,2022-07-01,Jalisco,Puerto Vallarta,Homicidio doloso,Homicide,Violent Crime,4,1.35,SESNSP – Incidencia Delictiva del Fuero Común (Municipal),https://www.gob.mx/sesnsp/acciones-y-programas/datos-abiertos-de-incidencia-delictiva,Intentional killings only. Culposo (negligent) homicide tracked separately.
2022,8,August,2022-08-01,Jalisco,Puerto Vallarta,Homicidio doloso,Homicide,Violent Crime,4,1.35,SESNSP – Incidencia Delictiva del Fuero Común (Municipal),https://www.gob.mx/sesnsp/acciones-y-programas/datos-abiertos-de-incidencia-delictiva,Intentional killings only. Culposo (negligent) homicide tracked separately.
2022,9,September,2022-09-01,Jalisco,Puerto Vallarta,Homicidio doloso,Homicide,Violent Crime,4,1.35,SESNSP – Incidencia Delictiva del Fuero Común (Municipal),https://www.gob.mx/sesnsp/acciones-y-programas/datos-abiertos-de-incidencia-delictiva,Intentional killings only. Culposo (negligent) homicide tracked separately.
2022,10,October,2022-10-01,Jalisco,Puerto Vallarta,Homicidio doloso,Homicide,Violent Crime,4,1.35,SESNSP – Incidencia Delictiva del Fuero Común (Municipal),https://www.gob.mx/sesnsp/acciones-y-programas/datos-abiertos-de-incidencia-delictiva,Intentional killings only. Culposo (negligent) homicide tracked separately.
